publish_date,title,source,nvda_relevance,nvda_sentiment_score,overall_sentiment_score,url,summary,policy_shock_type
9/8/2022 9:14,Reviewing EMCORE (NASDAQ:EMKR) and NVIDIA (NASDAQ:NVDA),etfdailynews.com,0.08773,0.00078,0.00034,https://www.etfdailynews.com/2022/08/09/reviewing-emcore-nasdaqemkr-and-nvidia-nasdaqnvda/,Read Reviewing EMCORE (NASDAQ:EMKR) and NVIDIA (NASDAQ:NVDA) at ETF Daily News,CHIPS Act Signed
9/8/2022 18:45,Nvidia Stock: Brace For Impact (NASDAQ:NVDA),seekingalpha.com,0.09568,0.00004,-0.0968,https://seekingalpha.com/article/4532071-nvidia-stock-brace-for-impact,Nvidia's preliminary Q2 results were terrible after gaming revenue fell by 33% year over year. Read more to see why I'm bullish on NVDA stock.,CHIPS Act Signed
9/8/2022 15:37,Nvidia Plunges on Weaker Q2 Gaming Revenue,investopedia.com,0.09396,-0.0968,-0.09721,https://www.investopedia.com/nvidia-nvda-tumbles-after-flagging-weaker-q2-revenue-6385635,Graphics chipmaker Nvidia plunged after warning about lower-than-expected revenue in its gaming segment.,CHIPS Act Signed
31/8/2022 5:20,NVIDIA (NASDAQ:NVDA) PT Set at $205.00 by Credit Suisse Group,etfdailynews.com,0.09281,0.00063,0.00085,https://www.etfdailynews.com/2022/08/31/nvidia-nasdaqnvda-pt-set-at-205-00-by-credit-suisse-group-2/,Read NVIDIA (NASDAQ:NVDA) PT Set at $205.00 by Credit Suisse Group at ETF Daily News,A100/H100 Export Ban
1/9/2022 22:07,Nvidia stock falls after U.S. government restricts chip sales to China,cnbc.com,0.09688,-0.09608,-0.09694,https://www.cnbc.com/2022/08/31/nvidia-stock-falls-after-us-government-restricts-chip-sales-to-china.html,Nvidia said on Wednesday that it's been told by the U.S. government to stop selling chips in China and Russia.,A100/H100 Export Ban
1/9/2022 23:21,U.S. Officials Order Nvidia To Halt Sales Of Top AI Chips To China,ibtimes.co.uk,0.08991,-0.09129,-0.0936,https://www.ibtimes.com/us-officials-order-nvidia-halt-sales-top-ai-chips-china-3608002,Chip designer Nvidia Corp on Wednesday said that U.S.,A100/H100 Export Ban
8/10/2022 22:02,NVIDIA Omniverse: The Useful Metaverse,forbes.com,0.09238,0.00015,0.00051,https://www.forbes.com/sites/karlfreund/2022/10/07/nvidia-omniverse-the-useful-metaverse/,"The Value of Digital Twins creates a comprehensive and photo-realistic design platform The technology is finally reaching critical mass of users, connections, and applications where people around the world are doing real work in the un-real world.",Export Control Expansion
7/10/2022 14:34,Looking At NVIDIA's Recent Whale Trades - NVIDIA (NASDAQ:NVDA),benzinga.com,0.09005,-0.00069,-0.00033,https://www.benzinga.com/markets/options/22/10/29185512/looking-at-nvidias-recent-whale-trades,Someone with a lot of money to spend has taken a bearish stance on NVIDIA (NASDAQ:NVDA). And retail traders should know. We noticed this today when the big position showed up on publicly available options history that we track here at Benzinga.,Export Control Expansion
7/10/2022 17:10,Nvidia does not expect new U.S. export restrictions to impact business,seekingalpha.com,0.09656,-0.06403,-0.07302,https://seekingalpha.com/news/3889740-nvidia-does-not-expect-new-us-export-restrictions-to-impact-business,An Nvidia (NVDA) spokesman told Seeking Alpha on Friday that the company did not expect the new export controls placed on U.S. companies sending chip equipment to Chinese ...,Export Control Expansion
17/10/2023 11:30,Is AMD's Artificial Intelligence (AI) Acquistion Enough to Catch Nvidia?,finance.yahoo.com,0.08618,-0.00001,0.09099,https://finance.yahoo.com/m/80f6f8e3-c3d6-3100-bd5f-b5b77f031a14/is-amd%27s-artificial.html?.tsrc=rss,"Nvidia (NASDAQ: NVDA) is dominating Advanced Micro Devices (NASDAQ: AMD) in their respective artificial intelligence (AI) offerings.  Nvidia grew second-quarter revenue by 102% versus AMD's 18% decline.  On Oct. 10, AMD announced its intention to acquire Nod.ai to better compete with Nvidia.",H800/A800 Loophole Closure
17/10/2023 13:46,Looking At NVIDIA's Recent Unusual Options Activity - NVIDIA (NASDAQ:NVDA),benzinga.com,0.09432,-0.0006,0.00003,https://www.benzinga.com/markets/options/23/10/35288486/looking-at-nvidias-recent-unusual-options-activity,,H800/A800 Loophole Closure
17/10/2023 17:01,Nvidia Stock: High Hopes Could Meet Harsh Reality Next (NASDAQ:NVDA),seekingalpha.com,0.09582,0.07152,-0.09696,https://seekingalpha.com/article/4641323-nvidia-stock-high-hopes-could-meet-harsh-reality-next,Nvidia stock is down nearly 5% as the U.S. government tightens semiconductor curbs to weaken China's AI progress. Learn why I'm neutral on NVDA.,H800/A800 Loophole Closure
8/5/2024 20:42,Why Nvidia Stock Briefly Plunged and Then Recovered Today,finance.yahoo.com,0.09109,-0.00038,-0.08397,https://finance.yahoo.com/news/why-nvidia-stock-briefly-plunged-204200214.html,Comments from Stanley Druckenmiller caused a quick plunge in the stock.,Huawei Export License Revocation
8/5/2024 20:17,Nvidia Targets 'Perfect' Breakout — And 473% Growth,finance.yahoo.com,0.09333,0.09138,-0.00022,https://www.investors.com/research/stock-screener-stocks-to-buy-watch/?src=A00220&yptr=yahoo,"Featuring Nvidia, Cava, Chipotle and more, this stock screener highlights top-rated stocks to watch right now.",Huawei Export License Revocation
7/5/2024 0:37,"Nvidia Stock: Fairly Valued, But Potential Huge Annual Returns Persist (NASDAQ:NVDA)",seekingalpha.com,0.09277,0.00059,0.09341,https://seekingalpha.com/article/4689921-nvidia-stock-airly-valued-but-potential-huge-annual-returns-persist,"Nvidia's Q424 earnings surpassed expectations, maintaining dominance in AI chips and projecting strong growth potential amidst valuation concerns. Read more.",Huawei Export License Revocation
23/10/2022 13:00,Big Investor Bought Nvidia and Rivian Stock. It Sold Ford and GM.,marketwatch.com,0.09251,0.00011,-0.08151,https://www.marketwatch.com/articles/nvidia-stock-rivian-ford-and-gm-51666274684,Financial-services giant DNB loaded up on shares of firm Nvidia and electric-vehicle maker Rivian in the third quarter. It cut investments in Ford and GM.,Biren GPU/TSMC Restriction
4/10/2022 5:46,Comparing NVIDIA (NASDAQ:NVDA) & Power Integrations (NASDAQ:POWI),etfdailynews.com,0.09248,-0.00052,0.00023,https://www.etfdailynews.com/2022/10/04/comparing-nvidia-nasdaqnvda-power-integrations-nasdaqpowi/,Read Comparing NVIDIA (NASDAQ:NVDA) & Power Integrations (NASDAQ:POWI) at ETF Daily News,Russia Office Closure
5/10/2022 20:29,Nvidia Vs. Qualcomm: Battle Of The Metaverse Chipmakers,seekingalpha.com,0.09294,0,-0.00022,https://seekingalpha.com/article/4544670-nvidia-vs-qualcomm-battle-of-the-metaverse-chipmakers,There are two major semiconductor companies that battle for the crown of the metaverse chipmaker: Qualcomm and Nvidia. Find out which one to buy.,Russia Office Closure
4/10/2022 19:35,"Nvidia closes Russian offices, will fly relocating employees out of the country, report says",marketwatch.com,0.09647,-0.08884,-0.0003,https://www.marketwatch.com/story/nvidia-closes-russian-offices-will-fly-relocating-employees-out-of-the-country-report-says-11664908547,Nvidia will give employees the option of continuing their jobs in other countries.,Russia Office Closure
1/10/2022 9:01,NVIDIA (NASDAQ:NVDA) Price Target Lowered to $180.00 at Susquehanna Bancshares,etfdailynews.com,0.09540,-0.07496,-0.08599,https://www.etfdailynews.com/2022/10/01/nvidia-nasdaqnvda-price-target-lowered-to-180-00-at-susquehanna-bancshares/,Read NVIDIA (NASDAQ:NVDA) Price Target Lowered to $180.00 at Susquehanna Bancshares at ETF Daily News,China AI Chip Self-Reliance
19/10/2023 19:01,Oracle Continues AI Momentum with NVIDIA AI Enterprise and DGX Cloud Availability in the Oracle Cloud Marketplace,marketscreener.com,0.09132,0.09339,0.06769,https://www.marketscreener.com/quote/stock/ORACLE-CORPORATION-13620698/news/Oracle-Continues-AI-Momentum-with-NVIDIA-AI-Enterprise-and-DGX-Cloud-Availability-in-the-Oracle-Clou-45107021/,Gemelo.ai Harnesses Oracle Cloud Infrastructure and NVIDIA Software to Power Advanced AI Projects,ASML/Global Concerns
19/10/2023 5:32,GRAPHICS PROCESSING UNIT: GPU Temperature range (AMD and NVidia ),medium.com,0.08712,0,-0.07095,https://medium.com/@nikitajaniya236/graphics-processing-unit-gpu-temperature-range-amd-and-nvidia-6c5a6b8a906a,When your computer components are heating up and could lead to damages increased amount of heat can lead to the elusive blue screen of death or permanently damaged your components all together…,ASML/Global Concerns
19/10/2023 5:32,Chip Stocks Shed $73 Billion After US Curbs Nvidia Sales to China,medium.com,0.08667,-0.0968,-0.09738,https://yourtechstory.medium.com/chip-stocks-shed-73-billion-after-us-curbs-nvidia-sales-to-china-7e08cdaac938,"In a significant blow to the semiconductor industry, chip stocks experienced a sharp decline on Tuesday following the United States’…",ASML/Global Concerns
7/11/2022 14:55,Multiple Headwinds Hit NVIDIA Corporation (NVDA) in the Third Quarter,insidermonkey.com,0.09217,-0.09718,-0.00058,https://www.insidermonkey.com/blog/multiple-headwinds-hit-nvidia-corporation-nvda-in-the-third-quarter-1083697/,Investment management company Vulcan Value Partners recently released its third-quarter 2022 investor letter. A copy of the same can be downloaded here.,Tower Semi M&A Risk
7/11/2022 8:08,Cathie Wood Offloads Nvidia Ahead of Third-Quarter Earnings,finance.yahoo.com,0.08888,-0.00015,0.00066,https://finance.yahoo.com/news/cathie-wood-offloads-nvidia-ahead-080853240.html,"(Bloomberg) -- Cathie Wood is once again offloading shares in her long-time favorite Nvidia Corp., as a slight rebound emerged ahead of the company’s earnings.Most Read from BloombergTwitter Now Asks Some Fired Workers to Please Come BackUkraine Latest: US and Russia Discussed Containing War, WSJ SaysHouston Mogul’s $75 Million Win on Astros Hits Caesars HardestPutin’s Ukraine War Is Entering a Terrifying New PhaseMethane Cloud Spotted by Satellite Near India Waste SiteHer flagship Ark Innovatio",Tower Semi M&A Risk
8/11/2022 21:17,Nvidia: Touchdown And Ready For The Next Target (NASDAQ:NVDA),seekingalpha.com,0.09638,-0.00012,-0.05299,https://seekingalpha.com/article/4554397-nvidia-touchdown-and-ready-for-the-next-target-technical-analysis,Investors who followed my last call on Nvidia could avoid a 20% price drop or even profit from a rewarding long position. See my current view on NVDA stock.,Tower Semi M&A Risk
21/9/2022 9:56,Tech Week: Is Nvidia Over the Worst?,morningstar.co.uk,0.08859,-0.06538,-0.09557,https://www.morningstar.co.uk/uk/news/226576/tech-week-is-nvidia-over-the-worst.aspx,"Once the darling of fund managers, Nvidia has had a troubling 12 months, but Morningstar analysts don't think its licencing woes are fatal",CEO Statement on China Sales
21/9/2022 2:40,Nvidia Vs. Intel Stock: Where To Buy The Dip?,seekingalpha.com,0.09270,0.00064,0.00043,https://seekingalpha.com/article/4542183-nvidia-vs-intel-where-buy-dip,"Is there a dip buying opportunity for either Nvidia or Intel? Click to read a comparative analysis between NVDA and INTC stocks, and my pick of the two.",CEO Statement on China Sales
21/9/2022 17:34,Check Out What Whales Are Doing With NVDA - NVIDIA (NASDAQ:NVDA),benzinga.com,0.08685,0.00012,-0.083,https://www.benzinga.com/markets/options/22/09/28953278/check-out-what-whales-are-doing-with-nvda,A whale with a lot of money to spend has taken a noticeably bearish stance on NVIDIA. Looking at options history for NVIDIA (NASDAQ:NVDA) we detected 71 strange trades.,CEO Statement on China Sales
