publish_date,source,url,title,summary,raw_sentiment,event_tag
2022-08-09T09:14:52.000000Z,etfdailynews.com,https://www.etfdailynews.com/2022/08/09/reviewing-emcore-nasdaqemkr-and-nvidia-nasdaqnvda/,Reviewing EMCORE (NASDAQ:EMKR) and NVIDIA (NASDAQ:NVDA),Read Reviewing EMCORE (NASDAQ:EMKR) and NVIDIA (NASDAQ:NVDA) at ETF Daily News,0.376573,CHIPS Act Signed (Subsidy)
2022-08-09T18:45:23.000000Z,seekingalpha.com,https://seekingalpha.com/article/4532071-nvidia-stock-brace-for-impact,Nvidia Stock: Brace For Impact (NASDAQ:NVDA),Nvidia's preliminary Q2 results were terrible after gaming revenue fell by 33% year over year. Read more to see why I'm bullish on NVDA stock.,0.175955,CHIPS Act Signed (Subsidy)
2022-08-09T15:37:45.000000Z,investopedia.com,https://www.investopedia.com/nvidia-nvda-tumbles-after-flagging-weaker-q2-revenue-6385635,Nvidia Plunges on Weaker Q2 Gaming Revenue,Graphics chipmaker Nvidia plunged after warning about lower-than-expected revenue in its gaming segment.,0.10097,CHIPS Act Signed (Subsidy)
2022-08-31T05:20:41.000000Z,etfdailynews.com,https://www.etfdailynews.com/2022/08/31/nvidia-nasdaqnvda-pt-set-at-205-00-by-credit-suisse-group-2/,NVIDIA (NASDAQ:NVDA) PT Set at $205.00 by Credit Suisse Group,Read NVIDIA (NASDAQ:NVDA) PT Set at $205.00 by Credit Suisse Group at ETF Daily News,0.456791,A100/H100 Export Ban
2022-08-31T22:07:24.000000Z,cnbc.com,https://www.cnbc.com/2022/08/31/nvidia-stock-falls-after-us-government-restricts-chip-sales-to-china.html,Nvidia stock falls after U.S. government restricts chip sales to China,Nvidia said on Wednesday that it's been told by the U.S. government to stop selling chips in China and Russia.,0.0,A100/H100 Export Ban
2022-08-31T23:21:11.000000Z,ibtimes.co.uk,https://www.ibtimes.com/us-officials-order-nvidia-halt-sales-top-ai-chips-china-3608002,U.S. Officials Order Nvidia To Halt Sales Of Top AI Chips To China,Chip designer Nvidia Corp on Wednesday said that U.S.,0.0,A100/H100 Export Ban
2022-10-07T22:02:46.000000Z,forbes.com,https://www.forbes.com/sites/karlfreund/2022/10/07/nvidia-omniverse-the-useful-metaverse/,NVIDIA Omniverse: The Useful Metaverse,"The Value of Digital Twins creates a comprehensive and photo-realistic design platform The technology is finally reaching critical mass of users, connections, and applications where people around the world are doing real work in the un-real world.",0.0,Export Control Expansion
2022-10-07T14:34:23.000000Z,benzinga.com,https://www.benzinga.com/markets/options/22/10/29185512/looking-at-nvidias-recent-whale-trades,Looking At NVIDIA's Recent Whale Trades - NVIDIA (NASDAQ:NVDA),Someone with a lot of money to spend has taken a bearish stance on NVIDIA (NASDAQ:NVDA). And retail traders should know. We noticed this today when the big position showed up on publicly available options history that we track here at Benzinga.,0.412533,Export Control Expansion
2022-10-07T17:10:30.000000Z,seekingalpha.com,https://seekingalpha.com/news/3889740-nvidia-does-not-expect-new-us-export-restrictions-to-impact-business,Nvidia does not expect new U.S. export restrictions to impact business,An Nvidia (NVDA) spokesman told Seeking Alpha on Friday that the company did not expect the new export controls placed on U.S. companies sending chip equipment to Chinese ...,0.131511,Export Control Expansion
2023-10-17T11:30:00.000000Z,finance.yahoo.com,https://finance.yahoo.com/m/80f6f8e3-c3d6-3100-bd5f-b5b77f031a14/is-amd%27s-artificial.html?.tsrc=rss,Is AMD's Artificial Intelligence (AI) Acquistion Enough to Catch Nvidia?,"Nvidia (NASDAQ: NVDA) is dominating Advanced Micro Devices (NASDAQ: AMD) in their respective artificial intelligence (AI) offerings.  Nvidia grew second-quarter revenue by 102% versus AMD's 18% decline.  On Oct. 10, AMD announced its intention to acquire Nod.ai to better compete with Nvidia.",0.6496,H800/A800 Loophole Closure
2023-10-17T13:46:22.000000Z,benzinga.com,https://www.benzinga.com/markets/options/23/10/35288486/looking-at-nvidias-recent-unusual-options-activity,Looking At NVIDIA's Recent Unusual Options Activity - NVIDIA (NASDAQ:NVDA),,0.2651,H800/A800 Loophole Closure
2023-10-17T17:01:01.000000Z,seekingalpha.com,https://seekingalpha.com/article/4641323-nvidia-stock-high-hopes-could-meet-harsh-reality-next,Nvidia Stock: High Hopes Could Meet Harsh Reality Next (NASDAQ:NVDA),Nvidia stock is down nearly 5% as the U.S. government tightens semiconductor curbs to weaken China's AI progress. Learn why I'm neutral on NVDA.,0.319622,H800/A800 Loophole Closure
2024-05-07T20:42:00.000000Z,finance.yahoo.com,https://finance.yahoo.com/news/why-nvidia-stock-briefly-plunged-204200214.html,Why Nvidia Stock Briefly Plunged and Then Recovered Today,Comments from Stanley Druckenmiller caused a quick plunge in the stock.,-0.058,Huawei Export License Revocation
2024-05-07T20:17:40.000000Z,finance.yahoo.com,https://www.investors.com/research/stock-screener-stocks-to-buy-watch/?src=A00220&yptr=yahoo,Nvidia Targets 'Perfect' Breakout — And 473% Growth,"Featuring Nvidia, Cava, Chipotle and more, this stock screener highlights top-rated stocks to watch right now.",0.534864,Huawei Export License Revocation
2024-05-07T00:37:08.000000Z,seekingalpha.com,https://seekingalpha.com/article/4689921-nvidia-stock-airly-valued-but-potential-huge-annual-returns-persist,"Nvidia Stock: Fairly Valued, But Potential Huge Annual Returns Persist (NASDAQ:NVDA)","Nvidia's Q424 earnings surpassed expectations, maintaining dominance in AI chips and projecting strong growth potential amidst valuation concerns. Read more.",0.402627,Huawei Export License Revocation
